window,signal,group,n,games,ats_w,ats_l,ats_p,ats_cover_rate,ats_wilson_low,ats_wilson_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_win_rate,mean_score_margin,median_score_margin,opponent_points_mean,opponent_pass_epa_per_play_mean,opponent_pass_success_rate_mean,defense_sack_rate_mean,offense_pass_epa_per_play_mean,offense_pass_success_rate_mean,offense_rush_epa_per_play_mean,offense_rush_success_rate_mean
"2026 Week 1 prior-season","pass_protection","10+","5","5","3","2","0","0.6","0.231","0.882","2.3","3.5","3","2","0","0.6","3.8","5","30.2","0.025","0.486","0.038","0.205","0.502","-0.014","0.502"
"2026 Week 1 prior-season","pass_protection","15+","5","5","3","2","0","0.6","0.231","0.882","2.3","3.5","3","2","0","0.6","3.8","5","30.2","0.025","0.486","0.038","0.205","0.502","-0.014","0.502"
"2026 Week 1 prior-season","pass_protection","20+","3","3","2","1","0","0.667","0.208","0.939","3.5","15","2","1","0","0.667","6.667","18","29","0.02","0.498","0.034","0.199","0.5","0.024","0.556"
"2026 Week 1 prior-season","pass_protection_raw_percentile","5/31+","8","7","3","4","1","0.429","0.158","0.75","-2.75","-1.25","4","4","0","0.5","-1.625","-1.5","30.375","0.143","0.488","0.038","0.164","0.498","-0.059","0.509"
"2026 Week 1 prior-season","pass_protection_raw_percentile","10/31+","5","5","3","2","0","0.6","0.231","0.882","2.3","3.5","3","2","0","0.6","3.8","5","30.2","0.025","0.486","0.038","0.205","0.502","-0.014","0.502"
"2026 Week 1 prior-season","pass_protection_raw_percentile","15/31+","5","5","3","2","0","0.6","0.231","0.882","2.3","3.5","3","2","0","0.6","3.8","5","30.2","0.025","0.486","0.038","0.205","0.502","-0.014","0.502"
"2026 Week 1 prior-season","pass_protection_raw_percentile","20/31+","3","3","2","1","0","0.667","0.208","0.939","3.5","15","2","1","0","0.667","6.667","18","29","0.02","0.498","0.034","0.199","0.5","0.024","0.556"
"2026 Week 1 prior-season","run_block","all","32","16","15","15","2","0.5","0.332","0.668","0","0","16","16","0","0.5","0","0","24.719","0.076","0.449","0.06","0.076","0.449","-0.093","0.498"
"2026 Week 1 prior-season","run_block","<=0","17","14","7","9","1","0.438","0.231","0.668","0.147","-0.5","8","9","0","0.471","0.765","-2","22.706","0.041","0.418","0.059","0.055","0.453","-0.094","0.487"
"2026 Week 1 prior-season","run_block","1-4","4","4","2","1","1","0.667","0.208","0.939","4.875","7.25","3","1","0","0.75","2.75","7.5","18.25","0.024","0.392","0.078","0.186","0.475","-0.179","0.449"
"2026 Week 1 prior-season","run_block","5-9","7","6","4","3","0","0.571","0.25","0.842","-3.857","2.5","3","4","0","0.429","-4.857","-1","30.571","0.115","0.528","0.05","0.002","0.444","-0.052","0.525"
"2026 Week 1 prior-season","run_block","10-14","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
